City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,anadyr,64.75,177.4833,9.28,87,100,5.0,RU,1722721696
83,tromso,69.6496,18.957,16.01,67,0,0.51,NO,1722721697
84,kalmunai,7.4167,81.8167,26.77,81,100,3.3,LK,1722721698
85,westport,41.1415,-73.3579,29.04,66,94,5.46,US,1722721699
86,beaufort west,-32.3567,22.583,16.77,19,86,6.41,ZA,1722721700
87,port mathurin,-19.6833,63.4167,21.85,73,20,5.03,MU,1722721701
88,la ronge,55.1001,-105.2842,25.12,28,40,6.17,CA,1722721703
89,mosjoen,65.836,13.1908,18.29,68,40,1.54,NO,1722721704
90,bonthe,7.5264,-12.505,24.95,86,100,5.04,SL,1722721705
91,west island,-12.1568,96.8225,25.99,78,100,5.14,CC,1722721706
92,stanley,54.868,-1.6985,13.01,83,0,2.57,GB,1722721707
93,geraldton,-28.7667,114.6,6.23,87,0,4.12,AU,1722721708
94,trairi,-3.2778,-39.2689,25.31,80,16,5.87,BR,1722721646
95,el granada,37.5027,-122.4694,31.38,56,20,7.72,US,1722721711
96,suva,-18.1416,178.4415,24.71,88,20,1.54,FJ,1722721712
97,sao tome,0.3365,6.7273,23.66,77,71,3.88,ST,1722721449
98,lompoc,34.6391,-120.4579,29.21,68,20,4.12,US,1722721715
99,bontang,0.1333,117.5,24.95,90,88,4.1,ID,1722721716
100,coyhaique,-45.5752,-72.0662,2.25,96,71,2.33,CL,1722721568
101,breves,-1.6822,-50.4803,27.72,55,13,1.54,BR,1722721718
102,howrah,22.5892,88.3103,28.0,94,40,2.57,IN,1722721720
103,al burayqah,30.4062,19.5739,27.27,66,0,3.58,LY,1722721721
104,montmagny,48.9734,2.3469,20.06,87,100,2.57,FR,1722721722
105,vila franca do campo,37.7167,-25.4333,23.23,80,52,0.53,PT,1722721723
106,tamanrasset,22.785,5.5228,30.95,23,0,3.09,DZ,1722721724
107,saipan,15.1355,145.701,27.39,83,100,6.69,MP,1722721725
108,konongo,6.6167,-1.2167,21.58,96,89,1.66,GH,1722721726
109,papatowai,-46.5619,169.4708,6.55,70,76,2.95,NZ,1722721727
110,tommot,58.9564,126.2925,12.56,90,90,1.09,RU,1722721729
111,wanning,18.8003,110.3967,26.3,90,35,2.22,CN,1722721730
112,ushuaia,-54.8,-68.3,-1.19,64,75,3.6,AR,1722721733
113,haiku-pauwela,20.9219,-156.3051,27.32,80,40,9.26,US,1722721734
114,nova vicosa,-17.8919,-39.3719,22.34,87,7,4.67,BR,1722721735
115,sao luiz gonzaga,-28.4083,-54.9608,23.05,58,90,3.79,BR,1722721512
